Input_Text,Accepted_Completion,Rejected_Completion
What is another name for whooping cough mentioned in the October 2024 article?,Whooping cough is also known as Pertussis.,Whooping cough is also known as Influenza.
How long after starting antibiotics is a person with whooping cough contagious?,A person with whooping cough is contagious for five days after beginning antibiotics.,A person with whooping cough is contagious for ten days after beginning antibiotics.
Which grade level at Oak Hills is specifically mentioned in connection with the whooping cough case?,The case is specifically associated with Oak Hills High School.,The case is specifically associated with Oak Hills Middle School.
"What type of symptoms are associated with the onset of whooping cough, as per the October 2024 article?","Symptoms include a runny and congested nose, mild coughing, and labored breathing.","Symptoms include fever, muscle aches, and a sore throat."
"According to the article from October 2024, how do whooping cough symptoms typically progress?",Symptoms start mild but can become more violent after one to two weeks.,Symptoms remain mild and rarely change in intensity over time.
What specific breathing difficulty is mentioned as a symptom of whooping cough?,Labored breathing is a symptom of whooping cough.,Wheezing lungs is a symptom of whooping cough.
When was the letter asking for parent vigilance regarding whooping cough sent?,The letter was sent on a Wednesday.,The letter was sent on a Thursday.
In what year was a student at Oak Hills High School diagnosed with whooping cough?,The diagnosis occurred in 2024.,The diagnosis occurred in 2023.
How are parents informed about the whooping cough case at Oak Hills High School?,Parents were informed via a letter from the district.,Parents were informed through a televised announcement.
What contagious illness was highlighted in Oak Hills High School in October 2024?,Whooping cough was highlighted.,Chickenpox was highlighted.
"How long after symptoms appear do whooping cough coughs typically worsen, according to the 2024 report?",Coughs worsen after one to two weeks.,Coughs worsen after three to four weeks.
What specific type of cough is associated with whooping cough progression?,Violent coughing is associated with whooping cough progression.,Dry coughing is associated with whooping cough progression.
Which non-Mediterranean country was focused on in the study about the Mediterranean diet and diabetes risk?,China.,Japan.
How many participants were included in the data set of the study on the Mediterranean diet's impact on diabetes?,"12,575 participants.","10,000 participants."
"According to the study, what percentage decrease in type 2 diabetes risk was associated with a higher Mediterranean diet score?",17%.,25%.
Which foods were identified as significantly associated with a lower risk of new-onset diabetes in the study?,"Fruit, fish, and nuts.","Vegetables, dairy, and meat."
The Mediterranean diet study used data from which ongoing national study in China?,China Health and Nutrition Survey (CHNS).,China National Health Database (CNHD).
"As of 2021, what percentage of the global population is living with type 2 diabetes?",10.5%.,8.2%.
What dietary assessment tool was used in the study to score participants' diets?,Mediterranean diet adherence (MDA) scale.,Dietary Score Index (DSI).
For how many consecutive days did participants complete dietary intake questionnaires in the study?,Three days.,Five days.
What was the average age of the participants in the Mediterranean diet study?,43 years old.,50 years old.
The Mediterranean diet has been shown to support a healthy pregnancy by reducing the risk of what specific condition?,Preeclampsia.,Gestational diabetes.
What acronym was coined by Dr. Norman Rosenthal and his team in 1984 to describe seasonal depression?,SAD.,SAP.
What is a common first-line treatment for Seasonal Affective Disorder (SAD) besides light therapy?,Antidepressant medications.,Homeopathy treatments.
"Which university is Dr. Paul Desan affiliated with, who endorses light therapy for treating SAD?",Yale University.,Stanford University.
"What type of therapy, alongside light therapy and medications, is used for SAD and shown to have durable effects?",Cognitive Behavioral Therapy (CBT).,Psychoanalysis Therapy.
What spectrum of light has been shown to influence mood and is crucial for people with SAD according to researchers?,Blue light.,Red light.
Who was one of the first researchers to describe and define Seasonal Affective Disorder (SAD)?,Dr. Norman Rosenthal.,Dr. Steven White.
In which season do most episodes of SAD typically begin?,Fall.,Spring.
"According to Dr. Paul Desan, how long should SAD patients expose themselves to bright light each morning?",For 30 minutes.,For 10 minutes.
Kathryn Roecklein is affiliated with which institution for her research on SAD?,University of Pittsburgh.,Harvard University.
What is the range for the cost of special lights recommended for treating SAD?,$70 to $400.,$150 to $900.
In what year did Dr. Norman Rosenthal and his team first describe Seasonal Affective Disorder?,1984.,1994.
What organization offers a consumer guide to selecting lights for SAD treatment?,The nonprofit Center for Environmental Therapeutics.,National Light Therapy Association.
In what year was the dinosaur tail preserved in amber discovered in Myanmar?,2016.,2024.
From which region in Myanmar was the amber specimen containing a dinosaur tail found?,Kachin State.,Mandalay Region.
Approximately how old is the dinosaur tail preserved in amber discovered by scientists?,About 99 million years old.,About 75 million years old.
"What is the size of the preserved dinosaur tail found in amber, according to the research?",The size of a dried apricot.,The size of a baseball.
Who led the research team that discovered the dinosaur tail in amber?,Lida Xing.,Jack Horner.
What was the initial belief of traders about the contents of the amber containing the dinosaur tail?,They thought a plant was trapped inside.,They thought an insect was trapped inside.
Where was the dinosaur tail specimen intended to be sold before its true nature was discovered?,An amber market.,A museum auction.
What notable feature does the dinosaur tail encased in amber possess besides feathers?,Bones and soft tissue.,Gemstones and crystals.
Which publication featured the research on the amber-preserved dinosaur tail and provided insights on its significance?,National Geographic.,Scientific American.
What feature of the preserved tail challenged previous perceptions of dinosaurs like the velociraptor?,The presence of widespread feathers.,The presence of metallic scales.
How much does the amber specimen containing the dinosaur tail weigh?,6.5 grams.,16 grams.
"Which university is Lida Xing, the lead researcher of the dinosaur tail study, affiliated with?",China University of Geosciences.,Peking University.
What significant aspect of the dinosaur tail specimen did Ryan McKellar highlight?,The visibility and three-dimensional nature of fine details.,The iridescent colors of the feathers.
"What has been found preserved in amber from the dinosaur era before, aside from the tail?",Fragments of bird wings.,Complete dinosaur skeletons.
"As of October 2024, how many total samples has Perseverance collected on Mars?",Perseverance has collected 24 samples of rock and regolith and one air sample.,Perseverance has collected 30 samples of rock and regolith and no air samples.
On which Martian day did Perseverance capture a panoramic view of Jezero Crater?,"Perseverance captured the panoramic view on the 1,282nd Martian day of its mission.","Perseverance captured the panoramic view on the 1,050th Martian day of its mission."
"As of October 2024, how many kilometers has Perseverance driven on Mars?",Perseverance has driven over 30 kilometers.,Perseverance has driven over 45 kilometers.
"As part of its mission, how many empty tubes for rock sampling does Perseverance currently carry?",Perseverance currently carries 11 empty tubes.,Perseverance currently carries 15 empty tubes.
What new driving strategy did Perseverance successfully test to enhance traction on steep slopes?,Perseverance tested driving backward up the slope.,Perseverance tested driving sideways along the slope.
How many witness tubes were included in Perseverance's initial complement of sample tubes?,Perseverance included three witness tubes.,Perseverance included six witness tubes.
What geological area has Perseverance recently sampled before October 2024?,"Perseverance recently sampled the ""Cheyava Falls"" rock.","Perseverance recently sampled the ""Valles Marineris"" rock."
"When did Perseverance take its ""Cheyava Falls"" sample?","Perseverance took the ""Cheyava Falls"" sample in July 2024.","Perseverance took the ""Cheyava Falls"" sample in August 2023."
"As of October 2024, how many years has Perseverance been on its mission in Jezero Crater?",Perseverance has been on its mission for 3½ years.,Perseverance has been on its mission for 5 years.
Which driving method proved most effective for Perseverance to increase traction?,Driving closer to the slope’s northern edge proved most effective.,Increasing the speed on flat surfaces proved most effective.
What primary role does Perseverance play in NASA's Mars exploration missions?,Perseverance plays a crucial role in the search for ancient microbial life on Mars.,Perseverance is primarily focused on testing new propulsion systems in Mars' atmosphere.
"What probability did Woodcock and Falletta calculate for 200,000 chimps typing the complete works of Shakespeare in a googol years?",6.4 x 10^-7448254.,6.4 x 10^-74483.
How many keys were on the keyboard used in Woodcock and Falletta's probability calculations?,30 keys.,26 keys.
What is the name of the children's book used as a reference point in probability calculations for the Infinite Monkey Theorem?,Curious George.,Dr. Seuss's ABC.
"What probability did the researchers find for producing the text of ""Curious George"" by the end of the Universe?",6.4 x 10^-15043.,6.4 x 10^-1043.
Which paradox mentioned in the research involves infinite rewards that no one would pay to enter?,St. Petersburg paradox.,Monty Hall paradox.
"According to the 2024 study, what is the method for realistically evaluating the Infinite Monkey Theorem in real-world settings?",The Finite Monkey Theorem.,The Definite Monkey Hypothesis.
What unresolved paradox discussed alongside the Infinite Monkey Theorem involves infinitely subdividing a distance?,Zeno's dichotomy paradox.,Schrödinger's cat paradox.
Which Shakespearean work is specifically mentioned in Woodcock and Falletta's 2024 study about the Infinite Monkey Theorem?,Hamlet.,Macbeth.
What technology is Viridian Space Corp. developing for spacecraft in very low Earth orbit as of October 2024?,An electric propulsion system that scoops up air for plasma thrusters.,A nuclear propulsion system that uses hydrogen as fuel.
In what year was Viridian Space Corp. founded?,2021.,2018.
Who is the CEO of Viridian Space Corp. as of October 2024?,Rostislav Spektor.,Matthew Feldman.
What type of orbit is referred to as VLEO?,Very low Earth orbit.,Very high Earth orbit.
What issue did previous attempts at air-scooping electric propulsion face?,Engines with enough thrust to offset atmospheric drag were not produced.,Lack of power to initiate the thrust mechanism.
How long could satellites potentially operate in VLEO with Viridian's propulsion system according to Spektor?,A decade.,Five years.
What challenge related to materials is Viridian addressing for VLEO satellites?,"Material-interaction issues, especially with solar panels.",Fuel leakage problems in satellite engines.
"As of October 2024, how much money has Viridian raised in pre-seed funding?",About $2.5 million.,"About $500,000."
Who co-founded Viridian Space Corp. along with Rostislav Spektor?,Matthew Feldman.,James Connor.
"As stated by Spektor, what is a significant aerodynamic challenge for satellites in VLEO?",Atmospheric drag.,Water vapor disruption.
What material-related problem does atomic oxygen cause for satellites in VLEO?,It leads to material-interaction issues.,It causes magnetic interference with instruments.
What notable outcome has Viridian achieved with their prototype hardware as of October 2024?,Achieved efficiencies required to make the propulsion system feasible.,Completed a successful lunar mission using the prototype.
In what city is Viridian Space Corp. based?,"El Segundo, California.","Palo Alto, California."
What kind of propulsion laboratory did Rostislav Spektor manage before Viridian?,The Aerospace Corp. electric propulsion laboratory.,NASA's chemical propulsion laboratory.
Who captured the close-up image of an ant's face honored in the 2022 Small World Photomicrography Competition?,Eugenijus Kavaliauskas.,Grigorii Timin.
Which competition honored the ant close-up photo as an 'Image of Distinction' in 2022?,The Nikon Small World Photomicrography Competition.,The Sony World Photography Awards.
What was the magnification level used to photograph the carpenter ant's face?,5x magnification.,10x magnification.
What technique was used to highlight the ant's face details in the award-winning photo?,Reflected light technique.,Transmitted light technique.
How many other photos were labeled as 'Images of Distinction' in the 2022 competition alongside the ant photo?,56 other photos.,45 other photos.
What type of objects are the yellow teeth-like features in the ant photo?,Very small 'trigger' hairs.,Carbide-tipped mandibles.
What macro image won the overall prize in the 2022 Small World competition?,The embryonic hand of a Madagascar giant day gecko.,A detailed image of butterfly wings.
What organization manages the Nikon Small World competition?,Nikon Instruments.,Canon Microphotography Division.
What does the ant primarily feed on besides nectar?,Parts of dead insects and honeydew.,Fresh leaves and small fruits.
In what environment do Camponotus ants typically make their nests?,Inside wood in forest environments.,Underground in sandy environments.
What year was the ant photograph by Eugenijus Kavaliauskas originally published in an article?,October 2022.,September 2023.
Who are the photographers for the winning image of the embryonic hand in the 2022 competition?,Grigorii Timin and Michel Milinkovitch.,Eugenijus Kavaliauskas and Eric Flem.
What does the Nikon Small World competition celebrate?,Microscopic images that exhibit scientific technique and artistry.,Landscape photography and natural light portraits.
What aspect of the ant's face was cleverly cropped to resemble glowing red eyes and yellow teeth?,The bases of the antennae and 'trigger' hairs.,The mandibles and ocular lobes.
Which two governmental organizations are mentioned as relying heavily on SpaceX for space contracts?,NASA and the Department of Defense are mentioned as relying heavily on SpaceX.,NASA and the Federal Aviation Administration are mentioned as relying heavily on SpaceX.
What specific satellite service did Putin reportedly request Musk not to provide to Taiwan?,Putin reportedly requested Musk not to provide Starlink satellite internet to Taiwan.,Putin reportedly requested Musk not to provide Iridium satellite internet to Taiwan.
What is the name of the newspaper that interviewed Pentagon officials about their concerns with SpaceX's monopoly?,The New York Times interviewed Pentagon officials about their concerns.,The Washington Post interviewed Pentagon officials about their concerns.
Who publicly voiced concerns about Elon Musk's alleged exchanges with foreign leaders?,NASA Administrator Bill Nelson publicly voiced concerns.,Space Force General John W. Raymond publicly voiced concerns.
What is the publication that disclosed the ongoing conversations between Musk and Putin?,The Wall Street Journal disclosed the ongoing conversations.,The Economist disclosed the ongoing conversations.
Which US government department is associated with the Defense Science Board mentioned in the article?,The Department of Defense is associated with the Defense Science Board.,The Department of Commerce is associated with the Defense Science Board.
When was Jazmin Evans diagnosed with kidney disease?,Jazmin Evans was diagnosed with kidney disease in 2012.,Jazmin Evans was diagnosed with kidney disease in 2015.
How long was Jazmin Evans on the kidney transplant wait list?,Jazmin Evans was on the kidney transplant wait list for four years.,Jazmin Evans was on the kidney transplant wait list for six years.
In what year did Jazmin Evans receive her kidney transplant?,Jazmin Evans received her kidney transplant in July 2023.,Jazmin Evans received her kidney transplant in July 2022.
Who published a report criticizing the use of race in clinical algorithms?,"The National Academies of Sciences, Engineering and Medicine published the report.",The World Health Organization published the report.
What field does Dr. M. Roy Wilson specialize in?,Dr. M. Roy Wilson is an ophthalmologist.,Dr. M. Roy Wilson is a cardiologist.
What disease is mentioned as being improperly attributed to race rather than ancestry?,Sickle cell disease is mentioned in this context.,Cystic fibrosis is mentioned in this context.
What year was the report condemning race usage in algorithms published?,The report was published in 2024.,The report was published in 2023.
What did the National Academies report focus on regarding race in biomedical research?,The report focused on race being used sometimes in harmful ways.,The report focused on race being a necessary biological variable.
"What type of rocket was used to launch 23 Starlink satellites on October 30, 2024?",A Falcon 9 rocket was used.,An Atlas V rocket was used.
"From which location did SpaceX's Falcon 9 rocket lift off on October 30, 2024?",It lifted off from Cape Canaveral Space Force Station.,It lifted off from Kennedy Space Center.
"At what time did the Falcon 9 rocket carrying 23 Starlink satellites launch on October 30, 2024?",It launched at 5:10 p.m. EDT.,It launched at 3:45 p.m. EDT.
"How many Starlink satellites were launched by the Falcon 9 rocket on October 30, 2024?",23 Starlink satellites were launched.,30 Starlink satellites were launched.
"What is the name of the SpaceX droneship that the Falcon 9's first stage landed on October 30, 2024?","The droneship is named ""A Shortfall of Gravitas.""","The droneship is named ""Of Course I Still Love You."""
"How long after liftoff were the Starlink satellites expected to be deployed into orbit on October 30, 2024?",They were expected to be deployed about 64 minutes after liftoff.,They were expected to be deployed about 30 minutes after liftoff.
"As of October 30, 2024, roughly how many Starlink satellites does SpaceX operate in low Earth orbit?","SpaceX operates nearly 6,500 Starlink satellites.","SpaceX operates nearly 7,500 Starlink satellites."
What percentage of SpaceX's Falcon 9 missions in 2024 were devoted to building the Starlink megaconstellation?,About two-thirds of the missions were devoted to Starlink.,About half of the missions were devoted to Starlink.
"As of the October 30, 2024 launch, how many Falcon 9 missions had SpaceX launched in 2024?",SpaceX had launched more than 100 Falcon 9 missions.,SpaceX had launched more than 150 Falcon 9 missions.
"In what ocean was the SpaceX droneship ""A Shortfall of Gravitas"" stationed for the October 30, 2024 launch?",It was stationed in the Atlantic Ocean.,It was stationed in the Pacific Ocean.
"Who is the founder of SpaceX, the company responsible for the Starlink mission on October 30, 2024?",Elon Musk is the founder of SpaceX.,Jeff Bezos is the founder of SpaceX.
"How long after launch did the Falcon 9's first stage land back on Earth on October 30, 2024?",It landed about eight minutes after liftoff.,It landed about twelve minutes after liftoff.
On what date did SpaceX launch the batch of 23 Starlink satellites in 2024?,"The launch occurred on October 30, 2024.","The launch occurred on September 25, 2024."
"Where is Cape Canaveral Space Force Station located, from which the launch on October 30, 2024, was conducted?",It is located in Florida.,It is located in Texas.
In what kind of orbit are SpaceX's Starlink satellites deployed?,They are deployed in low Earth orbit (LEO).,They are deployed in geostationary orbit.
What is the main purpose of SpaceX's Starlink satellites?,The main purpose is to provide internet connectivity.,The main purpose is to conduct weather monitoring.
"What kind of touchdown did the Falcon 9's first stage achieve on October 30, 2024?",It achieved a vertical touchdown.,It achieved a horizontal touchdown.
"What was the designated name of the comet that disintegrated near the Sun on October 28, 2024?",Comet C/2024 S1 (ATLAS).,Comet C/2024 A1 (Tsuchinan).
"At what time did Comet C/2024 S1 reach its perihelion on October 28, 2024?",7:30 a.m. ET.,9:00 a.m. ET.
Which observatory first discovered Comet C/2024 S1?,The Hawaii-based ATLAS survey.,The Tsuchinshan Observatory in China.
To which group of comets does Comet C/2024 S1 belong?,Kreutz sungrazers.,Halley-type comets.
"How close did Comet C/2024 S1 come to the Sun, as a percentage of the Earth-Sun distance?",1%.,10%.
Which spacecraft captured the disintegration of Comet C/2024 S1?,NASA and ESA's SOHO.,NASA's Hubble Space Telescope.
What nickname was given to Comet C/2024 S1 due to its disintegration near its perihelion?,The Halloween Comet.,The Christmas Comet.
"Who is the principal investigator for the LASCO instrument on SOHO, mentioned in the article?",Karl Battams.,Thomas Zurbuchen.
When was Comet C/2024 S1 first spotted?,"September 27, 2024.","August 31, 2024."
"Which comet, originating from the Oort Cloud, survived its perihelion on September 27, 2023?",Comet C/2023 A3 (Tsuchinan-Atlas).,Comet C/2024 W1 (Halley).
"What was the shared characteristic of Kreutz sungrazers, to which Comet C/2024 S1 belonged?",Close approach to the Sun at perihelion.,Passing through Earth's atmosphere.
Which platform did NASA use to post about Comet C/2024 S1's final moments?,X (formerly Twitter).,Instagram.
"Which comet, discovered in 2011, survived its perihelion and is known for emitting a unique glow?",Comet Lovejoy.,Comet Hale-Bopp.
"What celestial body has a brightness magnitude of -4.6, which Comet C/2024 S1 was expected to exceed?",Venus.,Jupiter.
In what year did astronomers discover the Kreutz sungrazer Comet Ikeya-Seki?,1965.,1986.
Which two space agencies jointly operate the SOHO spacecraft?,NASA and ESA.,NASA and Roscosmos.
What brightness magnitude did Comet Ikeya-Seki reach after surviving its close encounter with the Sun?,-11.,-6.
How many errors did the Yankees commit in the fifth inning during Game 5 of the World Series?,Aaron Judge committed the first error.,Anthony Rizzo committed the error.
Which Dodgers player's single initiated the Yankees' defensive meltdown in the fifth inning?,Enrique Hernández.,Mookie Betts.
Who was the Yankees' starting pitcher in Game 5 of the World Series?,Gerrit Cole.,Luis Severino.
How many pitches did Gerrit Cole have before the fifth inning collapse in Game 5 against the Dodgers?,49 pitches.,62 pitches.
How many pitches did it take Gerrit Cole to strike out Shohei Ohtani in the fifth inning of Game 5?,Four pitches.,Six pitches.
"In Game 5 of the World Series, which Yankees pitcher was replaced by Luke Weaver in the eighth inning?",Tommy Kahnle.,Chad Green.
Which Yankees player was charged with catcher's interference during the eighth inning of Game 5?,Austin Wells.,Kyle Higashioka.
How many days of rest did Gerrit Cole have before starting Game 5 of the World Series?,Four days of rest.,Three days of rest.
How many games did Gleyber Torres' mistake force into extra innings during Game 1?,The mistake forced one game into extra innings.,The mistake forced two games into extra innings.
Who was awarded the 2024 World Series MVP?,Freddie Freeman.,Mookie Betts.
What historic achievement did Freddie Freeman make in Game 1 of the 2024 World Series?,He hit the first walk-off grand slam in World Series history.,He hit the first inside-the-park home run in World Series history.
Against which pitcher did Freddie Freeman hit his historic grand slam in Game 1 of the 2024 World Series?,Nestor Cortes.,Gerrit Cole.
For which team did Freddie Freeman play during the 2024 World Series?,Los Angeles Dodgers.,Atlanta Braves.
In what year did Freddie Freeman previously win a World Series before 2024?,2021.,2020.
How many games did Freddie Freeman homer in consecutively during the 2024 World Series?,Six straight games.,Seven straight games.
Who did the Dodgers face in the 2024 World Series?,New York Yankees.,Boston Red Sox.
Which team was Freddie Freeman a part of when he won the NL MVP?,Atlanta Braves.,Los Angeles Dodgers.
Who caught Freddie Freeman’s near-home-run ball at the wall in Game 5 of the 2024 World Series?,Aaron Judge.,Giancarlo Stanton.
Who was the Yankees manager during the 2024 World Series?,Aaron Boone.,Joe Girardi.
Against which Yankees pitcher did Freeman hit a solo shot in Game 2 of the 2024 World Series?,Carlos Rodón.,Gerrit Cole.
Freeman was the fourth first baseman to win the World Series MVP. Who was the last first baseman to do so before him?,Steve Pearce in 2018.,Anthony Rizzo in 2016.
"When did Freeman hit a two-run homer, setting a record for home runs in consecutive World Series games?",Game 5 of the 2024 World Series.,Game 4 of the 2024 World Series.
Who was the Dodgers manager during the 2024 World Series?,Dave Roberts.,Don Mattingly.
Which Yankee pitcher did Freeman hit a two-run homer against in Game 3 of the 2024 World Series?,Clarke Schmidt.,Luis Severino.
How many times has Mookie Betts won the World Series as of 2024?,Three times.,Two times.
On what date did LeBron and Bronny James become the first father-son duo to play in the same NBA game?,"October 22, 2024.","October 25, 2024."
How many points did Bronny James score in his first NBA regular-season game?,Two points.,Five points.
Against which team did Bronny James score his first NBA basket?,The Cleveland Cavaliers.,The Boston Celtics.
In what year did the Cleveland Cavaliers win their only NBA championship?,2016.,2017.
Where was Bronny James born?,Cuyahoga Falls General Hospital.,Cleveland Clinic Hospital.
What position in the draft was Bronny James selected by the Lakers?,No. 55 overall.,No. 45 overall.
Who is the coach of the Cleveland Cavaliers as of October 2024?,Kenny Atkinson.,Tyronn Lue.
How many seasons has LeBron James played with the Los Angeles Lakers up until October 2024?,Seven seasons.,Nine seasons.
What year was LeBron James drafted by the Cavaliers?,2003.,2004.
"How many rebounds did LeBron James record in the game against the Cavaliers on October 30, 2024?",Six rebounds.,Eight rebounds.
What specific type of shot did Bronny James make to score his first NBA points?,A 14-foot jump shot.,A layup.
"How many assists did LeBron James have in the game against the Cavaliers on October 30, 2024?",Three assists.,Four assists.
How many siblings does Bronny James have?,Two siblings.,One sibling.
How many points were the Los Angeles Lakers trailing by when Bronny James entered the game against the Cavaliers?,23 points.,15 points.
What is LeBron James's age as of October 2024?,39 years old.,38 years old.
How many NBA teams has LeBron James played for as of October 2024?,Three teams.,Four teams.
How many total seasons has LeBron James played in the NBA as of October 2024?,22 seasons.,20 seasons.
Where did fans in Tokyo go to collect special newspaper editions celebrating the World Series victory?,Fans went to the Ginza shopping area in central Tokyo.,Fans went to the Akihabara shopping district in Tokyo.
"On what day did the single-sheet, special newspaper editions come out in Tokyo?",The editions came out on a Thursday afternoon.,The editions came out on a Saturday morning.
Against which team did the Dodgers secure their Game 5 victory to win the World Series?,They secured victory against the New York Yankees.,They secured victory against the San Francisco Giants.
Which publication featured the headline celebrating Ohtani and Yamamoto as world champions?,The Sports Nippon newspaper featured the headline.,The Asahi Shimbun newspaper featured the headline.
What is Shohei Ohtani's hometown in Japan?,His hometown is Oshu City.,His hometown is Sapporo City.
In which part of Japan is Oshu City located?,Oshu City is located in northern Japan.,Oshu City is located in southern Japan.
What was the traditional action by people in Tokyo when special newspaper editions were released?,People sprinted to get their free collector's items.,People carefully walked to avoid getting the newspapers.
In which game did the New York Yankees' season end against the Los Angeles Dodgers?,The Yankees' season ended in World Series Game 5.,The Yankees' season ended in World Series Game 7.
Who did the Yankees face in their last game of the 2023 season?,The Yankees faced the Los Angeles Dodgers.,The Yankees faced the Houston Astros.
Who committed the throwing error that allowed Enrique Hernández to reach third base safely during the fifth inning of Game 5 in the 2024 World Series?,Anthony Volpe.,Aaron Judge.
Which team won the 2024 World Series?,The Los Angeles Dodgers won the 2024 World Series.,The New York Yankees won the 2024 World Series.
How many titles have the Los Angeles Dodgers won after their victory in the 2024 World Series?,The Los Angeles Dodgers have won eight titles after their 2024 victory.,The Los Angeles Dodgers have won ten titles after their 2024 victory.
In which inning did Gerrit Cole make an error that contributed to the Yankees' loss in Game 5 of the 2024 World Series?,Fifth inning.,Third inning.
Which Dodgers player was safe on third due to a Yankees error during Game 5 of the 2024 World Series?,Enrique Hernández.,Cody Bellinger.
Who hit a two-run homer for the Yankees in the first inning of Game 5 of the 2024 World Series?,Aaron Judge.,Giancarlo Stanton.
"In the 2024 World Series Game 5, which Yankees player made an error on a ball hit by Tommy Edman?",Aaron Judge.,Anthony Rizzo.
"As of October 2024, how many rounds of playoffs against non-AL Central opponents have the Yankees won since 2017?",They have won only one round of playoffs against non-AL Central opponents.,They have won three rounds of playoffs against non-AL Central opponents.
Who was named the World Series MVP in 2024?,Freddie Freeman was named the World Series MVP in 2024.,Mookie Betts was named the World Series MVP in 2024.
Which Yankees player set a team record with their seventh postseason homer in 2024?,Giancarlo Stanton set a team record with his seventh postseason homer.,Aaron Judge set a team record with his seventh postseason homer.
"During Game 5 of the 2024 World Series, which Dodgers player hit an RBI single due to Yankees' fielding errors?",Mookie Betts hit the RBI single due to Yankees' errors.,Will Smith hit the RBI single due to Yankees' errors.
What event led to two sacrifice flies that contributed to the Dodgers' lead in Game 5 of the 2024 World Series?,A catcher’s interference by Austin Wells contributed to the Dodgers' lead.,A balk by Gerrit Cole contributed to the Dodgers' lead.
What was the final score of Game 5 in the 2024 World Series?,The final score was 7-6 in favor of the Dodgers.,The final score was 8-7 in favor of the Dodgers.
"Which Yankees pitcher was on the mound when the Dodgers scored two sacrifice flies in the eighth inning of Game 5, 2024 World Series?",Luke Weaver was on the mound.,Nestor Cortes was on the mound.
Who apologized to whom after a missed play at first base in Game 5 of the 2024 World Series?,Anthony Rizzo and Gerrit Cole apologized to each other.,Aaron Judge and Gerrit Cole apologized to each other.
What notable defensive play did Aaron Judge make in Game 5 of the 2024 World Series before his error?,Aaron Judge robbed Freddie Freeman of an RBI double with a backhanded catch.,Aaron Judge threw out Mookie Betts at home plate from center field.
Which Los Angeles Dodgers player was involved in the fan interference incident during Game 4 of the 2024 World Series?,Mookie Betts.,Freddie Freeman.
On what date were the Yankees fans ejected from the 2024 World Series Game for fan interference?,"October 29, 2024.","October 30, 2024."
What did the Yankees do with the Game 5 tickets of the ejected fans?,"Gave them to Calvin Young, a pediatric cancer patient.",Donated them to a charity raffle.
Which Yankees player hit a fly ball to left field affected by fan interference in Game 1 of the 2024 World Series?,Gleyber Torres.,Giancarlo Stanton.
What was the reason stated by the Yankees for banning the fans involved in the Game 4 incident?,Their actions were egregious and unacceptable.,They were seen trying to incite a brawl.
What was Calvin Young unable to attend at Yankee Stadium in September?,A kids-only news conference for Childhood Cancer Awareness Month.,A Yankees minor league exhibition game.
Who was notably banned for life from attending big league games after a separate incident in Yankee Stadium?,A fan who threw a ball at Red Sox player Alex Verdugo.,A fan who heckled Yankees' Giancarlo Stanton.
What is the release date of Dragon Age: Veilguard?,"October 31, 2024.","November 1, 2024."
Which game did Violet McVinnie previously work on as a cinematographer?,Mass Effect 2.,Dragon Age: Origins.
"What is the name of the animation set that includes ""Bioware Turns"" according to Violet McVinnie?",Posebreakers.,Animated Classics.
What is a common animation quirk associated with Bioware recognized by fans?,The 'Bioware Turn'.,The 'Epic Spin'.
Which Bioware game is mentioned in conjunction with combat animations reused from Jade Empire?,Mass Effect 3.,Mass Effect Andromeda.
When is the Apple Vision Pro scheduled to launch in South Korea and the UAE in 2024?,"November 15, 2024.","December 15, 2024."
In which month did Apple begin the international expansion of Vision Pro in 2024?,June 2024.,April 2024.
How much is the starting price of the Apple Vision Pro in the US?,"$3,500.","$4,200."
In which month was the Apple Vision Pro initially launched in the United States in 2024?,February 2024.,March 2024.
In which year did Apple announce the expansion of Vision Pro into South Korea and UAE?,2024.,2023.
What did Greg Joswiak announce regarding Vision Pro's availability in other countries and regions?,Customers in a dozen countries and regions will get to use it.,Customers in over 20 countries will get to use it.
What was the mode of the official announcement about Vision Pro's release date for South Korea and UAE?,Posted on X.,Announced via a live stream event.
How many years has Greg Glover been a DJ at 94.7 KNRK as of 2024?,Nearly 20 years.,Nearly 15 years.
Which alternative-indie rock station is Greg Glover associated with?,94.7 KNRK.,89.9 KCRW.
Which records does Greg Glover have from The Replacements?,All of The Replacements' records.,Only a few of The Replacements' records.
In which city does Greg Glover's radio show take place?,"Portland, Oregon.","Seattle, Washington."
What was Glover's heart rate when paramedics arrived during his health crisis?,13 beats per minute.,30 beats per minute.
Which year did Glover have a near-death experience due to health issues?,2020.,2018.
When did Google Chrome add the Memory Saver feature to improve performance and battery life?,In 2022.,In 2024.
How many new options were introduced for the Memory Saver feature in the latest Google Chrome update?,Three new options.,Four new options.
What is the purpose of Google Chrome's Memory Saver feature?,To free up memory from inactive tabs and improve browser performance.,To enhance the graphical interface of the browser.
What does Memory Saver do with tabs when they are inactive?,It frees up memory from the inactive tabs.,It accelerates the loading speed of the inactive tabs.
"As of the 2024 update, which resource-heavy Google service is mentioned that benefits from the Memory Saver feature?",Google Maps.,Google Photos.
Which operating system is mentioned as being easy to install Google Chrome on using a DEB file?,Ubuntu.,Fedora.
"Who is the CEO of Microsoft who called the Black Ops 6 launch the ""biggest Call of Duty release ever"" in October 2024?",Satya Nadella.,Phil Spencer.
By what percentage did Microsoft's gaming revenue increase year-over-year in Q1 FY2025?,43 percent.,35 percent.
